MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction
ENSG00000138686.8	a	g	60327.00	-1.181	0.2375	--+
ENSG00000163848.17	a	g	60327.00	1.669	0.09509	+-+
ENSG00000187790.9	a	g	60327.00	0.892	0.3722	-++
ENSG00000108021.18	a	g	60327.00	1.508	0.1315	-++
ENSG00000109180.13	a	g	60327.00	-0.498	0.6183	+--
ENSG00000199313.1	a	g	60327.00	-0.872	0.3832	+--
ENSG00000118990.5	a	g	60327.00	-1.626	0.104	---
ENSG00000167757.12	a	g	60327.00	0.558	0.5771	++-
ENSG00000006015.16	a	g	60327.00	-0.895	0.3707	---
ENSG00000197601.11	a	g	60327.00	0.952	0.3412	+-+
ENSG00000166363.5	a	g	40223.00	0.703	0.4823	?+-
ENSG00000157510.12	a	g	60327.00	0.878	0.3797	+-+
ENSG00000168067.10	a	g	60327.00	-0.018	0.986	+--
ENSG00000100906.9	a	g	60327.00	0.221	0.8252	-+-
ENSG00000275460.1	a	g	60327.00	0.175	0.8609	-+-
ENSG00000252783.1	a	g	60327.00	-0.319	0.7498	--+
ENSG00000147174.10	a	g	60327.00	-4.898	9.704e-07	---
ENSG00000206764.1	a	g	60327.00	1.731	0.08337	+++
ENSG00000175643.8	a	g	60327.00	1.230	0.2189	+-+
ENSG00000143669.12	a	g	60327.00	0.530	0.5964	+-+
ENSG00000164919.9	a	g	60327.00	0.171	0.8646	-+-
ENSG00000141401.10	a	g	60327.00	2.401	0.01636	+++
ENSG00000154920.13	a	g	60327.00	-0.620	0.5355	+-+
ENSG00000117281.14	a	g	60327.00	0.485	0.6274	+-+
ENSG00000130958.10	a	g	60327.00	1.015	0.31	-++
ENSG00000119953.11	a	g	60327.00	1.312	0.1895	+++
ENSG00000169217.7	a	g	60327.00	2.118	0.03417	+++
ENSG00000198399.13	a	g	60327.00	-0.061	0.951	--+
ENSG00000108551.4	a	g	60327.00	1.020	0.3077	+++
ENSG00000031823.13	a	g	60327.00	0.408	0.683	++-
ENSG00000204839.7	a	g	60327.00	-0.252	0.8013	-+-
ENSG00000005189.18	a	g	60327.00	-0.096	0.9233	--+
ENSG00000099797.10	a	g	60327.00	-2.043	0.04107	---
ENSG00000242999.3	a	g	60327.00	1.565	0.1176	-++
ENSG00000135917.12	a	g	60327.00	0.790	0.4294	++-
ENSG00000196395.7	a	g	60327.00	-1.024	0.3058	---
ENSG00000214827.8	a	g	60327.00	-0.991	0.3219	-+-
ENSG00000101220.16	a	g	60327.00	0.676	0.4987	++-
ENSG00000177030.15	a	g	60327.00	0.020	0.9843	++-
ENSG00000169550.11	a	g	40222.00	2.323	0.02017	++?
ENSG00000201592.1	a	g	60327.00	-7.898	2.827e-15	---
ENSG00000145029.10	a	g	60327.00	-0.787	0.4316	-+-
ENSG00000188060.6	a	g	60327.00	0.332	0.7398	++-
ENSG00000159387.7	a	g	60327.00	0.624	0.5329	+-+
ENSG00000164038.13	a	g	60327.00	4.772	1.822e-06	+++
ENSG00000165678.18	a	g	60327.00	-0.127	0.8992	-+-
ENSG00000123191.12	a	g	60327.00	1.906	0.05667	+++
ENSG00000119396.9	a	g	60327.00	0.768	0.4425	++-
ENSG00000206739.1	a	g	60327.00	0.784	0.4331	+++
ENSG00000180016.2	a	g	60327.00	0.186	0.8523	+-+
ENSG00000106868.15	a	g	60327.00	1.999	0.04566	+++
ENSG00000137252.8	a	g	60327.00	0.429	0.6677	++-
ENSG00000155545.18	a	g	60327.00	1.187	0.2352	+++
ENSG00000173272.12	a	g	60327.00	-1.403	0.1606	-+-
ENSG00000178826.9	a	g	60327.00	1.772	0.07646	+++
ENSG00000175414.6	a	g	60327.00	1.130	0.2585	+-+
ENSG00000101574.13	a	g	60327.00	-0.773	0.4392	---
ENSG00000166508.16	a	g	60327.00	-0.441	0.6589	+-+
ENSG00000177875.4	a	g	60327.00	1.299	0.1941	+++
ENSG00000132294.12	a	g	60327.00	1.729	0.08375	+-+
ENSG00000128052.8	a	g	60327.00	0.162	0.8716	-++
ENSG00000243955.4	a	g	60327.00	0.732	0.4642	-+-
ENSG00000039319.15	a	g	60327.00	0.864	0.3879	+++
ENSG00000215452.3	a	g	60327.00	0.964	0.3349	-++
ENSG00000162368.12	a	g	60327.00	0.239	0.8109	++-
ENSG00000101188.4	a	g	60327.00	-0.634	0.5259	-+-
ENSG00000142511.4	a	g	60327.00	2.571	0.01015	+++
ENSG00000241128.1	a	g	60327.00	-2.007	0.04475	---
ENSG00000165376.9	a	g	60327.00	-0.940	0.3472	---
ENSG00000148704.11	a	g	60327.00	-0.202	0.8398	-+-
ENSG00000136982.5	a	g	60327.00	0.603	0.5465	+++
ENSG00000146731.9	a	g	60327.00	-0.717	0.4732	-+-
ENSG00000158486.12	a	g	60327.00	-1.269	0.2046	--+
ENSG00000166710.16	a	g	60327.00	0.411	0.6814	-+-
ENSG00000104368.16	a	g	60327.00	1.019	0.308	+-+
ENSG00000182831.10	a	g	60327.00	-0.553	0.5805	---
ENSG00000223728.3	a	g	60327.00	0.366	0.7143	++-
ENSG00000132478.8	a	g	60327.00	1.285	0.1986	++-
ENSG00000233670.6	a	g	60327.00	0.850	0.3955	+-+
ENSG00000141337.11	a	g	60327.00	3.151	0.001626	+++
ENSG00000187013.4	a	g	60327.00	0.140	0.889	++-
ENSG00000159527.3	a	g	60327.00	-0.017	0.9864	-+-
ENSG00000197506.7	a	g	60327.00	0.582	0.5609	+-+
ENSG00000125851.8	a	g	60327.00	0.226	0.8215	++-
ENSG00000178573.6	a	g	60327.00	0.289	0.7725	--+
ENSG00000158683.6	a	g	60327.00	2.451	0.01426	+++
ENSG00000112282.16	a	g	60327.00	0.146	0.8838	++-
ENSG00000234292.3	a	g	60327.00	1.016	0.3098	+-+
ENSG00000125508.3	a	g	60327.00	0.812	0.417	+++
ENSG00000145990.9	a	g	60327.00	-1.340	0.1803	---
ENSG00000176454.12	a	g	60327.00	0.091	0.9274	++-
ENSG00000179151.10	a	g	60327.00	0.802	0.4226	+++
ENSG00000173950.14	a	g	60327.00	1.879	0.06023	+++
ENSG00000117419.13	a	g	60327.00	-0.815	0.4151	+--
ENSG00000124143.9	a	g	60327.00	0.442	0.6584	++-
ENSG00000005844.16	a	g	60327.00	-0.200	0.8418	+-+
ENSG00000183807.7	a	g	60327.00	-0.619	0.5359	+--
ENSG00000237748.1	a	g	60327.00	-1.892	0.05854	--+
ENSG00000228674.4	a	g	60327.00	-0.762	0.4461	---
ENSG00000185475.7	a	g	60327.00	0.286	0.7752	+--
ENSG00000105383.13	a	g	60327.00	0.474	0.6352	-+-
ENSG00000164953.14	a	g	60327.00	-0.037	0.9706	+-+
ENSG00000163904.11	a	g	60327.00	0.568	0.5702	++-
ENSG00000137947.10	a	g	60327.00	-1.387	0.1654	---
ENSG00000145220.12	a	g	60327.00	-2.723	0.006471	---
ENSG00000163331.9	a	g	60327.00	0.524	0.6004	++-
ENSG00000120645.10	a	g	60327.00	1.309	0.1905	+-+
ENSG00000149488.12	a	g	20104.00	1.542	0.1231	+??
ENSG00000169946.12	a	g	60327.00	-0.280	0.7796	-+-
ENSG00000078814.14	a	g	60327.00	0.710	0.4777	++-
ENSG00000181649.5	a	g	60327.00	0.091	0.9278	-+-
ENSG00000278746.1	a	g	60327.00	-0.910	0.363	---
ENSG00000101337.14	a	g	60327.00	0.951	0.3419	+-+
ENSG00000025039.13	a	g	60327.00	0.059	0.9527	-+-
ENSG00000166897.13	a	g	60327.00	-1.112	0.2663	---
ENSG00000106246.16	a	g	60327.00	1.010	0.3126	+++
ENSG00000174365.18	a	g	60327.00	0.908	0.3641	+-+
ENSG00000176230.4	a	g	60327.00	0.896	0.3702	+++
ENSG00000163694.13	a	g	60327.00	-0.110	0.9126	--+
ENSG00000146013.9	a	g	60327.00	-0.304	0.7608	--+
ENSG00000171848.12	a	g	60327.00	0.240	0.8105	-+-
ENSG00000167114.11	a	g	60327.00	1.597	0.1103	+++
ENSG00000174446.11	a	g	60327.00	-2.112	0.03465	+--
ENSG00000133246.10	a	g	60327.00	1.284	0.1992	+-+
ENSG00000252368.1	a	g	60327.00	0.309	0.7571	+--
ENSG00000222612.1	a	g	60327.00	0.227	0.8205	+++
ENSG00000075429.7	a	g	60327.00	0.335	0.7376	+--
ENSG00000101203.15	a	g	60327.00	-1.192	0.2332	---
ENSG00000153832.10	a	g	60327.00	1.531	0.1257	+++
ENSG00000165606.7	a	g	60327.00	1.256	0.209	+++
ENSG00000164306.9	a	g	60327.00	-0.243	0.808	--+
ENSG00000165410.13	a	g	60327.00	0.987	0.3236	++-
ENSG00000097007.16	a	g	60327.00	1.824	0.06818	++-
ENSG00000182718.15	a	g	60327.00	-1.859	0.0631	---
ENSG00000242483.3	a	g	60327.00	0.818	0.4134	+++
ENSG00000102606.16	a	g	60327.00	-0.029	0.977	++-
ENSG00000106976.17	a	g	60327.00	1.227	0.2199	+-+
ENSG00000104884.13	a	g	60327.00	-0.990	0.3221	--+
ENSG00000162062.13	a	g	60327.00	0.535	0.5929	+-+
ENSG00000126953.5	a	g	60327.00	-0.881	0.3781	-+-
ENSG00000147548.15	a	g	60327.00	-1.584	0.1131	---
ENSG00000165282.12	a	g	60327.00	0.441	0.6595	+++
ENSG00000165527.6	a	g	60327.00	0.489	0.6251	+-+
ENSG00000095906.15	a	g	60327.00	0.370	0.7112	+-+
ENSG00000130045.14	a	g	60327.00	-1.185	0.2361	---
ENSG00000172575.10	a	g	60327.00	-1.572	0.1159	---
