probe_id	probeset_id
1006163	8092749
1006254	8015204
1006254	8019580
1006285	8059015
1006287	8068914
1006289	8048380
1006295	8089035
1006339	7911109
1006424	7901968
1006466	8062121
1006469	8139122
1006469	8139126
1006545	8045006
1006568	8168556
1006596	8076514
1006610	8019438
1006676	7950143
1006690	7945741
1006704	8073717
1006812	8005945
1006812	8091808
1006824	7947246
1006900	8029287
1006911	8020576
1006934	8056701
1006937	7934389
1007008	8122817
1007016	7975751
1007024	7896935
1007085	7972238
1007089	7978896
1007102	7963769
1007142	8118558
1007182	8045149
1007182	8055286
1007215	8010081
100722	7938071
1007235	7901692
100727	8117090
100730	7971997
1007310	8043477
1007323	7997924
1007335	8075900
1007369	8102985
100738	7911682
10074	8040298
1007406	8065419
1007411	7984483
1007415	8140143
1007422	8070850
1007437	7898259
1007457	8071664
1007479	8138546
1007485	8040466
1007508	8036706
1007552	8087781
100756	8002138
1007583	8137267
1007644	8010670
1007707	7966535
1007707	8022172
100772	8110193
1007728	7923979
1007743	7998541
1007763	8084401
1007774	8024996
1007808	8096616
1007810	8033604
1007813	8145230
1007820	8146481
1007871	8061185
1007888	8134822
1007948	8144290
1007948	8144316
1007957	8005946
1007957	8026441
1007957	8091808
1007980	7916563
1008033	8092722
1008072	8099448
1008098	7927098
1008098	8001071
1008098	8043488
1008098	8071059
1008116	8121254
1008121	7913860
1008142	8029055
1008145	8026636
1008179	7901950
1008204	8160623
1008230	7982205
1008230	8000410
1008268	8114798
1008293	8164695
1008305	8010081
1008334	8146481
100836	7950554
1008369	8156252
1008370	8137933
1008385	8037656
100840	8016413
1008406	7948675
1008476	7942686
1008536	8054033
1008539	7936975
1008638	8004937
100865	8073942
1008652	8001175
1008664	7947132
1008681	7991843
1008683	7998659
1008683	8013351
1008696	8030387
1008705	8127693
1008731	7913908
1008759	8103249
1008789	7988546
1008793	8036811
1008807	8064361
1008822	8029740
1008824	7973375
1008839	7986666
1008842	7982588
1008880	8091501
1008885	8025976
10090	7964929
1009043	8032759
1009075	8081545
100910	8022654
1009101	8008579
1009111	8066532
1009118	7942482
1009140	8044535
1009141	8000423
1009142	8000758
1009186	7977173
1009209	8160662
1009221	7954863
1009222	7939966
1009253	8110410
1009253	8115892
1009273	8094069
1009282	8078910
1009307	7989974
1009308	7907851
1009355	8076548
1009374	7945879
1009376	8180370
1009383	7898733
1009404	8110111
1009419	8026406
1009432	8158417
1009436	8109174
1009444	8070395
1009456	7961316
1009470	8122138
1009471	8083134
1009479	7938311
1009488	8074624
1009515	7909724
1009525	8148705
1009539	8080912
100954	7905850
1009578	7942314
1009608	8168365
1009662	8125440
1009679	8160527
100969	8068250
1009698	8049154
1009722	7930935
1009779	8092355
1009800	8007135
1009817	8124647
1009817	8178290
1009821	7968253
1009896	8144515
1009898	7964831
10099	7951694
1009908	8008360
1009933	8031678
1009938	8089761
1009947	8061828
1009956	7916115
1009971	8069874
1009996	8060743
1010024	8137845
101003	7913866
101004	8024095
1010046	8130221
1010086	7962084
1010088	7916395
1010135	8082247
1010151	8133173
1010188	7914261
101021	8180235
101022	7980860
1010272	8027259
1010278	8094545
1010318	7960543
1010396	8044580
1010414	8015174
1010414	8019596
1010433	7898722
1010482	8151374
1010493	8003666
1010528	8044816
1010539	7948130
1010544	8019560
101057	8130727
1010591	7966454
1010592	8113387
1010653	7998343
1010676	8005696
1010715	8080481
1010730	8155334
1010771	7931680
1010798	8171117
1010798	8177009
1010802	7981723
1010802	7981731
1010802	7995265
1010802	8001105
1010807	8126397
1010838	8053333
1010873	7922149
1010887	8086390
1010888	7947202
1010910	7952458
101092	8077489
1010922	8180370
1010926	8146129
1010972	7912160
1011023	7930997
1011026	8054839
1011036	8020450
1011051	8019961
1011057	7913186
1011096	8064473
1011139	8096898
1011144	7976518
1011168	8083798
1011186	7975950
1011299	7938684
1011299	7945874
1011299	7948114
1011299	7968788
1011299	7971242
1011299	8042575
1011299	8045888
1011299	8082245
1011299	8082249
1011299	8156320
1011328	7979887
1011335	8082685
1011384	8146933
101141	8089929
1011420	8017254
1011421	8053947
1011446	8085139
1011510	7928749
1011511	8103441
1011523	7912763
1011525	8004602
1011530	8005587
1011545	8031894
1011547	8174597
1011577	7915395
1011581	8098158
1011586	8004453
1011640	8120187
1011648	8108734
1011652	7923763
1011669	7988785
1011695	8040577
1011699	7961756
1011711	7979214
1011713	8030367
1011744	8014010
1011746	7933556
1011780	8065742
1011785	8082235
1011817	7947128
1011858	7915013
1011887	8150919
1011893	7957276
1011937	8086390
101194	8082260
1011945	7942268
1012007	8089325
1012092	8043871
1012097	8136178
1012100	8151541
1012111	8000481
1012166	8149082
1012191	8115763
1012198	7991236
1012240	8000197
1012268	8090389
1012312	8021644
1012322	7925312
1012343	8007117
1012343	8015219
1012343	8015222
1012343	8015231
1012343	8019572
1012343	8019701
1012362	7941598
101241	7988725
1012411	7939119
1012427	8027342
101246	8098499
1012504	8103379
1012523	7985998
1012588	7989065
1012642	8111250
1012709	8083625
1012796	8034917
1012834	8017830
1012848	8180298
1012859	8008621
1012920	8169387
1012933	8150919
1012946	8068550
1013089	7997136
1013102	8081940
1013226	7900594
1013241	8026690
1013297	7966888
1013377	8163931
1013413	7972690
1013420	7908693
1013425	7904363
1013452	8024729
1013558	8117541
1013579	8074608
1013584	7975246
101359	8172196
1013643	8017097
1013689	7956654
1013691	8027503
1013767	8069292
1013834	8126908
1013857	7932965
1013857	7934732
1013857	8052701
1013944	7910276
1013950	7965722
101396	8027321
1013985	7975600
1014021	7976620
1014055	8112177
1014058	7922294
1014113	8047216
1014136	8149708
1014138	7932423
1014230	8111100
1014236	7972901
1014248	8118515
1014248	8179455
1014263	8155273
1014282	8105679
1014306	7921863
1014341	7915428
1014344	8078444
1014363	8136754
1014368	8129561
1014368	8136980
1014381	8149860
1014437	8037984
1014482	7911898
1014522	8161905
1014530	8038698
1014541	8028676
101459	8067980
101459	8124925
1014594	7966297
1014632	8086422
1014635	8078790
1014646	7999888
1014662	7949452
1014681	7919901
101469	7921074
1014693	8017097
1014706	7900002
1014788	7940992
1014798	8018159
1014818	8123778
101483	7892803
1014832	8147372
1014852	7915407
1014873	8130858
1014877	8125456
1014938	8120009
1015004	7974532
1015059	8068882
1015072	8057735
1015096	8081664
1015105	8086140
101513	8084167
1015146	8157685
1015172	8129619
1015189	8117665
1015201	8050715
1015208	7999953
1015252	7973031
1015273	8143187
1015280	7923318
1015292	7903934
1015325	7981733
101543	7907186
1015492	8080000
1015497	7905529
1015516	8058510
1015562	7986187
1015586	7954278
1015679	7997167
1015732	8068631
1015742	7986636
1015790	7925742
1015790	7925744
101584	8180356
1015845	7956907
1015860	8074911
1015869	7917952
1015894	8064688
1015902	8148576
1015952	8147863
1015972	7901950
1016005	7904479
1016019	7928830
1016038	8035310
1016040	8164638
1016062	7896800
101607	7938177
1016080	8149066
1016128	8151333
1016152	8097866
1016216	8079262
1016261	7966721
1016274	7947650
101629	8139092
1016311	7901855
1016319	8003203
1016339	8116483
1016354	8017828
1016448	7972564
1016450	8063792
1016464	8170222
1016509	7927785
1016521	7983941
1016550	8166093
1016558	7904954
1016561	7967813
1016568	7925721
1016600	8170263
1016649	8098422
101668	8166670
1016688	8100506
1016708	8124452
1016713	7952399
1016713	7952401
1016770	8006184
1016796	8032599
1016812	7921130
101682	7955631
1016844	8116809
1016864	7911929
1016909	8098647
1016917	8086272
1016924	7911113
1016949	8149107
1016951	8088549
1016956	8074875
101699	7917243
1017004	7977475
1017012	8092405
1017025	7900145
101703	7915417
1017105	8043638
1017112	8024658
1017132	8117801
1017132	8177733
1017151	7991541
1017180	7971137
1017195	8038992
1017199	8108701
1017295	8026295
1017308	8117325
1017328	7914767
1017330	8028853
1017332	7933074
1017380	8029090
1017397	8140417
1017398	8091561
1017399	8088462
101741	7973023
1017473	8009795
1017505	8103806
1017507	8151412
1017520	7918484
1017563	8099755
1017581	7967708
1017591	8172087
1017636	7968014
1017651	8117397
1017655	8180407
1017655	8180408
1017655	8180409
1017666	8122128
1017700	7902390
1017739	7930169
101774	7966931
1017761	8099237
1017772	7946079
1017780	8144051
101779	8014072
