probe_id	probeset_id
627590	7898722
1054425	7898722
1081323	7898724
583502	7898724
825658	7898726
224169	7898726
304310	7898726
774851	7898727
763616	7898727
691691	7898727
784729	7898729
1607	7898733
666358	7898733
1009383	7898733
978327	7898733
804093	7898733
812233	7898733
420362	7898733
390079	7898733
224670	7898733
306581	7898733
445125	7898733
960573	7898735
1066407	7898735
945881	7898735
135038	7898735
928427	7898735
346201	7898735
841723	7898737
978451	7898737
405922	7898737
405853	7898738
923795	7898738
461690	7898738
241734	7898738
909494	7898757
123082	7898771
1025778	7898803
988378	7898892
992523	7898895
225071	7898896
874377	7898901
777736	7898971
726997	7898971
776592	7898974
1073828	7898974
755956	7899017
381960	7899035
704312	7897961
600952	7897962
777160	7897967
1031809	7897967
774379	7896757
85002	7896758
688510	7896764
631566	7896777
439738	7896777
183381	7896792
1053881	7896792
1016062	7896800
308691	7896800
60125	7896805
334354	7896805
116302	7896819
75958	7896819
340226	7896819
296552	7896820
414905	7896820
504245	7896858
621915	7896858
553237	7896867
923638	7896867
133173	7896873
1043670	7896880
401885	7896891
206994	7896898
469315	7896902
47945	7896924
1007024	7896935
1084116	7896935
601635	7896935
967021	7896936
505142	7896945
778414	7896945
720124	7896950
570155	7896950
701245	7896950
585580	7896950
445698	7896950
805628	7896950
532788	7896956
370246	7896956
555333	7896958
452189	7896958
211922	7896960
161359	7896982
935541	7896982
314635	7896982
970277	7896988
537261	7896989
1053934	7896998
37696	7896998
356318	7897027
527138	7897037
396443	7897040
143444	7897047
898427	7897048
384671	7897048
411747	7897075
20795	7897075
741167	7897111
1073513	7897115
810236	7897136
937094	7897153
1094882	7897153
409530	7897178
476551	7897181
399680	7897181
355585	7897189
398670	7897203
345812	7897222
290607	7897233
533126	7897233
983251	7897244
911626	7897244
423886	7897255
338060	7897261
1086141	7897264
1031618	7897269
337483	7897279
270184	7897291
297735	7897338
280868	7897377
991675	7897398
207647	7897399
32235	7897401
773700	7897405
241874	7897405
283538	7897407
911423	7897407
885918	7897407
907156	7897407
297733	7897407
310381	7897408
958467	7897411
990118	7897417
32094	7897417
348226	7897421
660325	7897421
216381	7897425
939650	7897425
500621	7897425
746141	7897425
67359	7897425
535438	7897425
46334	7897425
997408	7897425
455952	7897425
1049554	7897425
305516	7897425
306566	7897425
303774	7897425
852344	7897425
419820	7897428
984723	7897429
818608	7897429
800129	7897431
348740	7897435
923320	7897436
1052433	7897444
162262	7897457
527168	7897457
1093741	7897513
46535	7897516
701640	7897516
121036	7897549
942614	7897556
453574	7901297
115099	7901300
330692	7901300
549100	7901300
1033665	7901304
490079	7901304
110094	7901304
230271	7901310
1055698	7901310
566923	7901310
746617	7901312
989076	7901312
471889	7901324
143550	7901324
505098	7901325
915310	7901358
979182	7901373
754995	7901377
354513	7901386
984286	7901480
296692	7901490
311899	7901492
457352	7901492
1057946	7901494
1053656	7901500
85972	7901522
675432	7901522
349286	7901526
112681	7901526
115466	7901538
650613	7901567
664672	7901575
527336	7901581
288853	7901593
953720	7901609
1073419	7901610
889403	7901610
962745	7901610
654473	7901610
267852	7901610
534139	7901612
493485	7901612
218586	7901612
726824	7901622
467189	7901633
47826	7901644
34820	7901656
849785	7901657
1091421	7901666
401969	7901666
1075166	7901668
233865	7901668
121363	7901680
592162	7901688
172889	7901688
1038420	7901688
546397	7901688
189689	7901689
989048	7901690
1095753	7901690
1007235	7901692
942836	7901692
54523	7901692
456343	7901695
760847	7901706
1001328	7901706
184078	7901713
879369	7901719
716344	7901725
1091105	7901742
999195	7901743
305278	7901743
336228	7901743
864040	7901749
493544	7901753
733052	7901754
688938	7901764
80460	7901803
129715	7901803
340926	7901803
770361	7901830
1091443	7901831
876386	7901833
244413	7901853
1096950	7901853
447327	7901853
705677	7901853
16261	7901853
50758	7901853
781004	7901855
713922	7901855
117530	7901855
134155	7901855
60947	7901855
843478	7901855
796230	7901855
91572	7901855
84322	7901855
817650	7901855
1016311	7901855
240435	7901855
911977	7901855
296653	7901857
677473	7901859
658903	7901859
215378	7901859
937871	7901859
1068137	7901861
602704	7901861
551324	7901863
887612	7901864
17098	7901864
120691	7901865
177635	7901865
580835	7901891
448138	7901891
