probe_id	probeset_id
1002289	7970379
1002294	8026493
1002308	7898261
1002316	8148418
1002362	8105643
1002379	7912165
1002396	7911322
1002396	7986542
1002396	8044650
1002396	8159802
1002417	8109188
1002438	8154362
1002478	7934652
1002484	8037056
1002489	8083944
100249	7907350
1002495	7962084
1002499	8081209
100252	8135932
1002555	8056050
1002578	7965468
1002578	7982130
1002578	8061365
1002578	8075692
1002578	8105433
1002579	8127926
1002584	8120115
1002586	8113347
100261	7942339
1002616	7976568
1002643	8070180
1002644	7990756
1002670	7923595
1002672	7941705
1002731	8090504
1002740	8154212
1002784	8111386
1002794	8144289
1002815	8068764
1002817	7904954
1002831	7947309
1002906	8031521
1002907	7926935
1002919	8049198
1002984	8046998
1003008	8123352
1003017	8116927
1003043	7928609
1003043	7928638
1003046	8126576
1003087	8120755
1003097	7973017
1003113	7944507
1003115	8011330
1003121	8131197
1003149	8016471
1003156	8171412
1003164	7993610
1003165	8108626
1003180	8088851
1003182	7952131
1003186	8137268
1003191	8093183
1003217	8042039
1003219	7930678
100322	7949897
100322	7960897
1003235	8077498
100324	7990014
1003268	8101987
1003275	8166942
1003284	8117566
1003291	7967126
1003330	7966014
1003336	8123581
1003360	8127076
1003381	8030198
1003399	8076459
1003400	7915911
1003401	8122553
1003417	8117776
1003431	8158827
1003440	7923004
1003462	7992842
1003481	8001456
1003484	8051988
1003491	8142623
1003499	8122804
1003529	8138996
1003579	8084741
100358	7955133
1003583	8167557
1003588	7993118
1003604	7988568
1003613	8089600
1003621	7993184
1003629	7954742
1003635	8093161
1003667	7899186
1003670	7912901
1003703	7985223
1003703	7985413
1003703	7985454
1003703	7990895
1003703	7991113
1003703	7991728
1003708	8138469
1003714	8151412
100372	8120535
1003721	8144306
1003731	8062479
1003789	7974696
1003846	8150560
1003855	8095338
1003909	7926358
1003941	8009074
1003942	8085913
1003954	8057818
1003966	7934841
1003968	7932600
1003970	8171296
1003973	7971902
1003979	7974472
1003983	8110964
1003986	7962227
1004011	7949638
1004040	7910355
1004044	8045164
1004048	7969287
100405	7932549
1004060	7901711
1004061	8133224
1004063	8005201
1004068	7998840
1004070	7971279
1004083	8163453
1004085	8092842
1004113	8106318
1004123	7913295
1004140	7914920
1004141	7936935
1004163	8153897
1004169	8008093
1004203	8090031
1004230	8075907
1004233	7950886
1004236	8161888
100424	8080167
1004243	8065226
1004259	7965785
1004261	7943346
1004271	8041641
1004287	8016873
1004303	8107647
1004307	7931524
