probe_id	probeset_id	x	y
726661	8133073	60	692
726661	8133109	60	692
1013897	8132963	646	965
1013897	8133073	646	965
1013897	8133109	646	965
228817	8132963	966	217
228817	8133073	966	217
228817	8133109	966	217
738278	8132963	127	703
738278	8133073	127	703
738278	8133109	127	703
423724	8132963	573	403
423724	8133073	573	403
423724	8133109	573	403
180161	8132963	610	171
180161	8133073	610	171
180161	8133109	610	171
1021699	8132963	48	973
1021699	8133073	48	973
1021699	8133109	48	973
892400	8132963	949	849
892400	8133073	949	849
892400	8133109	949	849
354278	8132963	427	337
354278	8133073	427	337
354278	8133109	427	337
148750	8132981	699	141
1050026	8132981	25	1000
755688	8132981	737	719
620557	8132981	6	591
681083	8132981	682	648
889700	8132981	349	847
1030282	8132981	231	981
100392	8132981	641	95
729406	8132981	705	694
425645	8132981	394	405
431327	8132981	826	410
647140	8132981	339	616
921302	8132981	451	877
930577	8132981	276	886
903024	8132981	23	860
1037830	8133019	429	988
697504	8133022	303	664
697504	8139805	303	664
500587	8133022	786	476
500587	8139805	786	476
147328	8133022	327	140
147328	8139805	327	140
742018	8133022	717	706
742018	8139805	717	706
199351	8133022	900	189
199351	8139805	900	189
776898	8133022	947	739
776898	8139805	947	739
7609	8133022	258	7
7609	8139805	258	7
154794	8133022	443	147
154794	8139805	443	147
539642	8133022	991	513
539642	8139805	991	513
737451	8133022	350	702
737451	8139805	350	702
512108	8133022	757	487
512108	8139805	757	487
848328	8133022	977	807
848328	8139805	977	807
871429	8133024	978	829
871429	8139801	978	829
669068	8133024	217	637
669068	8139801	217	637
130746	8133024	545	124
130746	8139801	545	124
255471	8133024	320	243
255471	8139801	320	243
158276	8133024	775	150
158276	8139801	775	150
312424	8133024	573	297
312424	8139801	573	297
394701	8133024	950	375
394701	8139801	950	375
818295	8133024	344	779
818295	8139801	344	779
191651	8133024	550	182
191651	8139801	550	182
553150	8133024	849	526
553150	8139801	849	526
513059	8133024	658	488
513059	8139801	658	488
1012462	8133024	261	964
1012462	8139801	261	964
872835	8133024	284	831
872835	8139801	284	831
984469	8133024	618	937
984469	8139801	618	937
1002366	8133024	665	954
1002366	8139801	665	954
287872	8133024	171	274
287872	8139801	171	274
355390	8133024	489	338
355390	8139801	489	338
72650	8133024	199	69
72650	8139801	199	69
111458	8133024	157	106
111458	8139801	157	106
705175	8133024	624	671
541968	8133024	167	516
541968	8139801	167	516
860689	8133024	738	819
860689	8139801	738	819
647930	8133024	79	617
647930	8139801	79	617
991765	8133024	564	944
991765	8139801	564	944
763942	8133024	591	727
763942	8139801	591	727
28699	8133024	348	27
28699	8139801	348	27
1082123	8133024	622	1030
1082123	8139801	622	1030
243038	8133024	487	231
243038	8139801	487	231
69597	8133024	296	66
69597	8139801	296	66
528463	8133024	312	503
528463	8139801	312	503
867548	8133024	247	826
867548	8139801	247	826
366551	8133024	100	349
996232	8133024	831	948
996232	8139801	831	948
74182	8133024	681	70
74182	8139801	681	70
1068989	8133024	88	1018
1068989	8139801	88	1018
943031	8133024	130	898
943031	8139801	130	898
416068	8133024	267	396
416068	8139801	267	396
112547	8133024	196	107
112547	8139801	196	107
439066	8133024	165	418
439066	8139801	165	418
187785	8133024	884	178
187785	8139801	884	178
826126	8133024	825	786
826126	8139801	825	786
1013512	8133024	261	965
1013512	8139801	261	965
130884	8133024	683	124
130884	8139801	683	124
97277	8133028	676	92
38495	8133028	694	36
616138	8133028	837	586
637356	8133028	5	607
621339	8133028	788	591
149507	8133028	406	142
979920	8133031	269	933
988326	8133031	275	941
33076	8133031	525	31
678540	8133031	239	646
614230	8133031	1029	584
11768	8133031	217	11
727848	8133031	197	693
383050	8133031	849	364
1020431	8133031	880	971
987221	8133031	220	940
743072	8133031	721	707
410800	8133043	249	391
160599	8133043	998	152
932064	8133043	713	887
151128	8133043	977	143
632637	8133043	536	602
240042	8133043	641	228
912644	8133043	193	869
321155	8133043	904	305
901526	8133043	625	858
670408	8133043	507	638
579646	8133043	45	552
256400	8133043	199	244
502194	8133043	293	478
1081322	8133050	871	1029
926276	8133058	175	882
181090	8133058	489	172
